Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Establishment_Year,Outlet_Location_Type,Outlet_Type,Outlet_Size_Medium,Outlet_Size_High,Outlet_Size_Small,Outlet_Size_Non,year_sin,year_cos,Item_Fat_Content_ts_diff_mean,Item_Fat_Content_ts_diff_std,Item_Type_ts_diff_mean,Item_Type_ts_diff_std,Outlet_Location_Type_ts_diff_mean,Outlet_Location_Type_ts_diff_std,Outlet_Type_ts_diff_mean,Outlet_Type_ts_diff_std
18.5,2,0.045463773,4,144.1102,1997,0,1,0.0,0.0,1.0,0.0,-0.868876236383188,0.49502937877320613,-0.00020733982998133942,0.01439929963509821,0.0,0.0,0.0,0.0,0.0,0.0
17.6,2,0.047257328,13,119.6782,1997,0,1,0.0,0.0,1.0,0.0,-0.868876236383188,0.49502937877320613,-0.00020733982998133942,0.01439929963509821,0.0,0.0,0.0,0.0,0.0,0.0
9.0,2,0.069088961,2,56.3614,1997,0,1,0.0,0.0,1.0,0.0,-0.868876236383188,0.49502937877320613,-0.00020733982998133942,0.01439929963509821,0.0,0.0,0.0,0.0,0.0,0.0
13.85,2,0.025896485,5,165.021,1997,0,1,0.0,0.0,1.0,0.0,-0.868876236383188,0.49502937877320613,-0.00020733982998133942,0.01439929963509821,0.0,0.0,0.0,0.0,0.0,0.0
17.5,1,0.097904029,14,174.8738,1997,0,1,0.0,0.0,1.0,0.0,-0.868876236383188,0.49502937877320613,0.0,0.0,-0.0013774104683195593,0.03711348095126028,0.0,0.0,0.0,0.0
13.35,1,0.102511504,4,230.6352,1997,0,1,0.0,0.0,1.0,0.0,-0.868876236383188,0.49502937877320613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.85,2,0.121632721,0,60.622,1997,0,1,0.0,0.0,1.0,0.0,-0.868876236383188,0.49502937877320613,-0.00020733982998133942,0.01439929963509821,0.0,0.0,0.0,0.0,0.0,0.0
7.39,1,0.067779712,8,143.8812,1997,0,1,0.0,0.0,1.0,0.0,-0.868876236383188,0.49502937877320613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.1,1,0.173481304,13,194.511,1997,0,1,0.0,0.0,1.0,0.0,-0.868876236383188,0.49502937877320613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.645,1,0.143422643,8,95.841,1997,0,1,0.0,0.0,1.0,0.0,-0.868876236383188,0.49502937877320613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
